const_code,region_code,percent_leave,percent_remain
E14001000,E12000009,0.571897604,0.428102396
E14001007,E12000007,0.571873736,0.428126264
E14000923,E12000003,0.571613101,0.428386899
E14000666,E12000003,0.571465485,0.428534515
E14000774,E12000009,0.571216387,0.428783613
E14000815,E12000009,0.570831648,0.429168352
E14000838,E12000009,0.570384794,0.429615206
E14000968,E12000006,0.570369086,0.429630914
E14000855,E12000006,0.56934097,0.43065903
E14000954,E12000009,0.568813673,0.431186327
E14000833,E12000001,0.568289241,0.431710759
E14000689,E12000003,0.56793101,0.43206899
E14000637,E12000002,0.56745851,0.43254149
W07000070,W92000004,0.567322317,0.432677683
E14000706,E12000002,0.56728643,0.43271357
E14000863,E12000006,0.567266216,0.432733784
W07000045,W92000004,0.566745967,0.433254033
E14000943,E12000002,0.566389437,0.433610563
E14000839,E12000009,0.566086028,0.433913972
W07000060,W92000004,0.565590817,0.434409183
E14000761,E12000006,0.565157235,0.434842765
E14000993,E12000003,0.56432781,0.43567219
E14000710,E12000004,0.562974291,0.437025709
E14001014,E12000001,0.56289907,0.43710093
E14000621,E12000007,0.56261214,0.43738786
E14000709,E12000001,0.56223255,0.43776745
E14000574,E12000001,0.561246243,0.438753757
E14000963,E12000002,0.560537411,0.439462589
E14001055,E12000008,0.560165191,0.439834809
E14000835,E12000009,0.560133703,0.439866297
E14000735,E12000008,0.559372394,0.440627606
E14000701,E12000007,0.58305386,0.41694614
E14000804,E12000008,0.559171965,0.440828035
W07000063,W92000004,0.558429442,0.441570558
E14000829,E12000004,0.557006959,0.442993041
E14000885,E12000002,0.556726597,0.443273403
E14000580,E12000002,0.555540265,0.444459735
N06000016,N92000002,0.555283781,0.444716219
E14000699,E12000008,0.555201073,0.444798927
E14000739,E12000006,0.55486562,0.44513438
E14000605,E12000005,0.553651279,0.446348721
W07000065,W92000004,0.553168878,0.446831122
E14000554,E12000001,0.552978154,0.447021846
E14000828,E12000008,0.552576565,0.447423435
E14000724,E12000003,0.552317096,0.447682904
E14000981,E12000006,0.552125757,0.447874243
E14000877,E12000002,0.552024096,0.447975904
N06000005,N92000002,0.55190757,0.44809243
W07000066,W92000004,0.551631174,0.448368826
E14000587,E12000003,0.556252936,0.443747064
W07000076,W92000004,0.551359713,0.448640287
E14000938,E12000009,0.550987058,0.449012942
E14000950,E12000009,0.550762028,0.449237972
E14000957,E12000006,0.569724895,0.430275105
E14000856,E12000001,0.550462004,0.449537996
E14001033,E12000002,0.549508129,0.450491871
E14000624,E12000006,0.548911911,0.451088089
E14000581,E12000002,0.547996745,0.452003255
E14000964,E12000009,0.547660454,0.452339546
E14000857,E12000008,0.547548756,0.452451244
E14000895,E12000003,0.547104369,0.452895631
E14000696,E12000007,0.546308785,0.453691215
E14000801,E12000006,0.545971778,0.454028222
E14000612,E12000002,0.545117526,0.454882474
W07000042,W92000004,0.544088866,0.455911134
E14000880,E12000009,0.513897254,0.486102746
E14001051,E12000005,0.543949698,0.456050302
E14000685,E12000008,0.543458993,0.456541007
E14000662,E12000004,0.542503796,0.457496204
E14000681,E12000008,0.541993428,0.458006572
E14001057,E12000002,0.541988663,0.458011337
E14000603,E12000006,0.54100848,0.45899152
E14000782,E12000004,0.540619991,0.459380009
E14000930,E12000008,0.54056915,0.45943085
E14000918,E12000008,0.540405142,0.459594858
E14000946,E12000006,0.540262007,0.459737993
W07000069,W92000004,0.54015405,0.45984595
E14000613,E12000006,0.539924714,0.460075286
E14001001,E12000009,0.538913636,0.461086364
E14000909,E12000004,0.538778694,0.461221306
E14000570,E12000002,0.559428156,0.440571844
E14000584,E12000009,0.536906946,0.463093054
E14000682,E12000008,0.536814482,0.463185518
E14001052,E12000005,0.536772433,0.463227567
E14000611,E12000002,0.536670312,0.463329688
W07000056,W92000004,0.536570798,0.463429202
E14000990,E12000009,0.536487467,0.463512533
E14001026,E12000009,0.536303482,0.463696518
E14000545,E12000008,0.53598782,0.46401218
S14000007,S92000003,0.535944111,0.464055889
E14000911,E12000002,0.527973489,0.472026511
E14000665,E12000009,0.535341945,0.464658055
E14000757,E12000006,0.534889703,0.465110297
E14000841,E12000006,0.534376055,0.465623945
E14000931,E12000005,0.541942887,0.458057113
E14000942,E12000004,0.533380204,0.466619796
E14000766,E12000003,0.555612091,0.444387909
E14000759,E12000007,0.533092042,0.466907958
E14000781,E12000003,0.532661381,0.467338619
E14000586,E12000008,0.532448746,0.467551254
W07000067,W92000004,0.532082359,0.467917641
E14000928,E12000003,0.531871441,0.468128559
E14000614,E12000003,0.515096667,0.484903333
N06000009,N92000002,0.530920808,0.469079192
E14000822,E12000008,0.53081404,0.46918596
W07000059,W92000004,0.530131181,0.469868819
E14000988,E12000009,0.529247106,0.470752894
E14000926,E12000005,0.529205779,0.470794221
E14000813,E12000006,0.528804536,0.471195464
E14000997,E12000008,0.528574319,0.471425681
E14001027,E12000006,0.528225561,0.471774439
E14001023,E12000008,0.527748349,0.472251651
N06000017,N92000002,0.526171543,0.473828457
E14000646,E12000002,0.526126911,0.473873089
W07000078,W92000004,0.525506701,0.474493299
E14001035,E12000005,0.525193924,0.474806076
E14000607,E12000004,0.525137019,0.474862981
E14000814,E12000004,0.524707075,0.475292925
E14000728,E12000004,0.523664029,0.476335971
E14000775,E12000002,0.523421607,0.476578393
E14000925,E12000003,0.49711304,0.50288696
E14000738,E12000002,0.516880076,0.483119924
